original,new
js2_button1,js2_button10
js2_button2,js2_button9
js2_button3,js2_button12
js2_button4,js2_button16
js2_button5,js2_button11
js2_button6,js2_button22
js2_button7,js2_button24
js2_button8,js2_button21
js2_button9,js2_button23
js2_button10,js2_button14
js2_button11,js2_button26
js2_button12,js2_button28
js2_button13,js2_button29
js2_button14,js2_button27
js2_button15,js2_button15
js2_button16,js2_button30
js2_button17,js2_button32
js2_button18,js2_button29
js2_button19,js2_button31
js2_button20,js2_button33
js2_button21,js2_button35
js2_button22,js2_button36
js2_button23,js2_button1
js2_button24,js2_button2
js2_button25,js2_button3
js2_button26,js2_button4
js2_button27,js2_button6
js2_button28,js2_button7
js2_button29,js2_button5
